Support,Pattern,Cluster Sequence
13,hold confer elect → effort progress lead → cessat continu mediat,49 → 1 → 38
13,hold confer elect → coalit strateg launch → establish develop implement,49 → 7 → 43
13,hold confer elect → coalit strateg launch → take place mediat,49 → 7 → 4
13,hold confer elect → coalit strateg launch → parti meet reach,49 → 7 → 39
13,hold confer elect → coalit strateg launch → octob septemb decemb,49 → 7 → 13
13,hold confer elect → coalit strateg launch → effort progress lead,49 → 7 → 1
13,hold confer elect → ceasefir take effect → cessat continu mediat → agreement implement reach,49 → 25 → 38 → 27
13,hold confer elect → ceasefir take effect → establish develop implement → agreement implement reach,49 → 25 → 43 → 27
13,hold confer elect → ceasefir take effect → meet take place → agreement implement reach,49 → 25 → 22 → 27
13,hold confer elect → ceasefir take effect → take place mediat,49 → 25 → 4
13,hold confer elect → commit agreement committe → take place mediat,49 → 11 → 4
13,hold confer elect → commit agreement committe → meet take place → agreement implement reach,49 → 11 → 22 → 27
13,hold confer elect → commit agreement committe → commit agreement committe,49 → 11 → 11
13,hold confer elect → commit agreement committe → negoti take place,49 → 11 → 18
13,hold confer elect → agreement implement reach → agreement implement reach → octob septemb decemb,49 → 27 → 27 → 13
13,hold confer elect → agreement implement reach → agreement implement reach → coalit strateg launch,49 → 27 → 27 → 7
13,hold confer elect → agreement implement reach → juli meet immedi,49 → 27 → 21
13,hold confer elect → agreement implement reach → cessat continu mediat → agreement implement reach,49 → 27 → 38 → 27
13,hold confer elect → agreement implement reach → commit agreement committe → agreement implement reach,49 → 27 → 11 → 27
13,hold confer elect → agreement implement reach → parti meet reach,49 → 27 → 39
13,hold confer elect → agreement implement reach → reconcili refus resum,49 → 27 → 30
13,hold confer elect → agreement implement reach → meet turkana pokot,49 → 27 → 45
13,hold confer elect → agreement implement reach → process take place,49 → 27 → 2
13,hold confer elect → agreement implement reach → talk discuss take,49 → 27 → 48
13,hold confer elect → agreement implement reach → februari januari hold,49 → 27 → 19
13,hold confer elect → agreement implement reach → govern congoles congo,49 → 27 → 44
13,hold confer elect → juli meet immedi → cessat continu mediat,49 → 21 → 38
13,hold confer elect → juli meet immedi → meet take place,49 → 21 → 22
13,hold confer elect → juli meet immedi → take place mediat,49 → 21 → 4
13,hold confer elect → juli meet immedi → coalit strateg launch,49 → 21 → 7
13,hold confer elect → juli meet immedi → negoti take place,49 → 21 → 18
13,hold confer elect → juli meet immedi → agreement implement reach,49 → 21 → 27
13,hold confer elect → reconcili refus resum → meet take place,49 → 30 → 22
13,hold confer elect → reconcili refus resum → agreement implement reach → agreement implement reach,49 → 30 → 27 → 27
13,hold confer elect → reconcili refus resum → coalit strateg launch,49 → 30 → 7
13,hold confer elect → octob septemb decemb → govern congoles congo,49 → 13 → 44
13,hold confer elect → octob septemb decemb → parti meet reach,49 → 13 → 39
13,hold confer elect → govern state take → commit agreement committe,49 → 20 → 11
13,hold confer elect → govern state take → coalit strateg launch,49 → 20 → 7
13,hold confer elect → govern state take → cessat continu mediat,49 → 20 → 38
13,hold confer elect → govern congoles congo → octob septemb decemb,49 → 44 → 13
13,hold confer elect → govern congoles congo → agreement implement reach,49 → 44 → 27
13,hold confer elect → meet turkana pokot → negoti take place,49 → 45 → 18
13,hold confer elect → negoti take place → govern congoles congo,49 → 18 → 44
13,hold confer elect → negoti take place → octob septemb decemb → take place mediat,49 → 18 → 13 → 4
13,hold confer elect → negoti take place → negoti take place → agreement implement reach,49 → 18 → 18 → 27
13,hold confer elect → region nation tribe → negoti take place,49 → 17 → 18
13,hold confer elect → februari januari hold → effort progress lead,49 → 19 → 1
13,hold confer elect → lead ceasefir peac → commit agreement committe,49 → 8 → 11
13,hold confer elect → lead ceasefir peac → establish develop implement,49 → 8 → 43
13,hold confer elect → lead ceasefir peac → cessat continu mediat,49 → 8 → 38
13,withdraw forc promis → establish develop implement,42 → 43
13,withdraw forc promis → establish develop implement → cessat continu mediat,42 → 43 → 38
13,withdraw forc promis → cessat continu mediat,42 → 38
13,withdraw forc promis → cessat continu mediat → establish develop implement,42 → 38 → 43
13,establish develop implement → take place mediat → meet take place → establish develop implement,43 → 4 → 22 → 43
13,establish develop implement → take place mediat → take place mediat → take place mediat → parti meet reach,43 → 4 → 4 → 4 → 39
13,establish develop implement → take place mediat → take place mediat → hold confer elect,43 → 4 → 4 → 49
13,establish develop implement → take place mediat → take place mediat → talk discuss take,43 → 4 → 4 → 48
13,establish develop implement → take place mediat → cessat continu mediat → negoti take place,43 → 4 → 38 → 18
13,establish develop implement → take place mediat → coalit strateg launch → agreement implement reach,43 → 4 → 7 → 27
13,establish develop implement → take place mediat → commit agreement committe → establish develop implement,43 → 4 → 11 → 43
13,establish develop implement → take place mediat → commit agreement committe → cessat continu mediat,43 → 4 → 11 → 38
13,establish develop implement → take place mediat → negoti take place → commit agreement committe,43 → 4 → 18 → 11
13,establish develop implement → take place mediat → negoti take place → octob septemb decemb,43 → 4 → 18 → 13
13,establish develop implement → take place mediat → parti meet reach → take place mediat,43 → 4 → 39 → 4
13,establish develop implement → take place mediat → parti meet reach → establish develop implement,43 → 4 → 39 → 43
13,establish develop implement → take place mediat → attend confer summit,43 → 4 → 47
13,establish develop implement → take place mediat → govern state take → govern state take,43 → 4 → 20 → 20
13,establish develop implement → take place mediat → lead ceasefir peac → cessat continu mediat,43 → 4 → 8 → 38
13,establish develop implement → take place mediat → process take place,43 → 4 → 2
13,establish develop implement → take place mediat → reconcili refus resum → agreement implement reach,43 → 4 → 30 → 27
13,establish develop implement → take place mediat → reconcili refus resum → take place mediat,43 → 4 → 30 → 4
13,establish develop implement → take place mediat → reconcili refus resum → establish develop implement,43 → 4 → 30 → 43
13,establish develop implement → establish develop implement → peac hold attend,43 → 43 → 31
13,establish develop implement → establish develop implement → take place mediat → hold confer elect,43 → 43 → 4 → 49
13,establish develop implement → establish develop implement → take place mediat → agreement implement reach,43 → 43 → 4 → 27
13,establish develop implement → establish develop implement → establish develop implement → negoti take place,43 → 43 → 43 → 18
13,establish develop implement → establish develop implement → cessat continu mediat → take place mediat,43 → 43 → 38 → 4
13,establish develop implement → establish develop implement → cessat continu mediat → meet take place,43 → 43 → 38 → 22
13,establish develop implement → establish develop implement → ceasefir take effect,43 → 43 → 25
13,establish develop implement → establish develop implement → commit agreement committe → agreement implement reach,43 → 43 → 11 → 27
13,establish develop implement → establish develop implement → agreement implement reach → govern state take,43 → 43 → 27 → 20
13,establish develop implement → establish develop implement → agreement implement reach → negoti take place,43 → 43 → 27 → 18
13,establish develop implement → establish develop implement → clash conflict arm,43 → 43 → 33
13,establish develop implement → establish develop implement → juli meet immedi,43 → 43 → 21
13,establish develop implement → establish develop implement → attend confer summit,43 → 43 → 47
13,establish develop implement → establish develop implement → govern state take → agreement implement reach,43 → 43 → 20 → 27
13,establish develop implement → establish develop implement → negoti take place → octob septemb decemb,43 → 43 → 18 → 13
13,establish develop implement → establish develop implement → negoti take place → negoti take place,43 → 43 → 18 → 18
13,establish develop implement → establish develop implement → negoti take place → establish develop implement,43 → 43 → 18 → 43
13,establish develop implement → establish develop implement → negoti take place → cessat continu mediat,43 → 43 → 18 → 38
13,establish develop implement → meet take place → hold confer elect,43 → 22 → 49
13,establish develop implement → meet take place → take place mediat → meet take place,43 → 22 → 4 → 22
13,establish develop implement → meet take place → take place mediat → agreement implement reach,43 → 22 → 4 → 27
13,establish develop implement → meet take place → establish develop implement → agreement implement reach,43 → 22 → 43 → 27
13,establish develop implement → meet take place → cessat continu mediat → take place mediat,43 → 22 → 38 → 4
13,establish develop implement → meet take place → cessat continu mediat → establish develop implement,43 → 22 → 38 → 43
13,establish develop implement → meet take place → cessat continu mediat → meet take place → meet take place,43 → 22 → 38 → 22 → 22
13,establish develop implement → meet take place → cessat continu mediat → octob septemb decemb,43 → 22 → 38 → 13
13,establish develop implement → meet take place → cessat continu mediat → parti meet reach,43 → 22 → 38 → 39
13,establish develop implement → meet take place → effort progress lead → cessat continu mediat,43 → 22 → 1 → 38
13,establish develop implement → meet take place → meet take place → agreement implement reach,43 → 22 → 22 → 27
13,establish develop implement → meet take place → repres repre govern,43 → 22 → 23
13,establish develop implement → meet take place → agreement implement reach → agreement implement reach,43 → 22 → 27 → 27
13,establish develop implement → meet take place → agreement implement reach → cessat continu mediat,43 → 22 → 27 → 38
13,establish develop implement → meet take place → govern state take → cessat continu mediat,43 → 22 → 20 → 38
13,establish develop implement → meet alreadi take → effort progress lead,43 → 9 → 1
13,establish develop implement → hold confer elect → meet take place,43 → 49 → 22
13,establish develop implement → hold confer elect → agreement implement reach → agreement implement reach,43 → 49 → 27 → 27
13,establish develop implement → cessat continu mediat → hold confer elect,43 → 38 → 49
13,establish develop implement → cessat continu mediat → cessat continu mediat → cessat continu mediat,43 → 38 → 38 → 38
13,establish develop implement → cessat continu mediat → cessat continu mediat → take place mediat,43 → 38 → 38 → 4
13,establish develop implement → cessat continu mediat → cessat continu mediat → agreement implement reach,43 → 38 → 38 → 27
13,establish develop implement → cessat continu mediat → juli meet immedi,43 → 38 → 21
13,establish develop implement → effort progress lead → take place mediat → take place mediat,43 → 1 → 4 → 4
13,establish develop implement → effort progress lead → take place mediat → agreement implement reach,43 → 1 → 4 → 27
13,establish develop implement → effort progress lead → meet take place,43 → 1 → 22
13,establish develop implement → effort progress lead → octob septemb decemb,43 → 1 → 13
13,establish develop implement → coalit strateg launch → take place mediat → take place mediat,43 → 7 → 4 → 4
13,establish develop implement → coalit strateg launch → govern congoles congo,43 → 7 → 44
13,establish develop implement → coalit strateg launch → negoti take place,43 → 7 → 18
13,establish develop implement → coalit strateg launch → sudane sudan negoti,43 → 7 → 6
13,establish develop implement → coalit strateg launch → lead ceasefir peac,43 → 7 → 8
13,establish develop implement → coalit strateg launch → coalit strateg launch,43 → 7 → 7
13,establish develop implement → ceasefir take effect → cessat continu mediat → agreement implement reach,43 → 25 → 38 → 27
13,establish develop implement → ceasefir take effect → cessat continu mediat → cessat continu mediat,43 → 25 → 38 → 38
13,establish develop implement → ceasefir take effect → meet take place,43 → 25 → 22
13,establish develop implement → ceasefir take effect → fight take fighter,43 → 25 → 3
13,establish develop implement → ceasefir take effect → parti meet reach,43 → 25 → 39
13,establish develop implement → commit agreement committe → meet take place,43 → 11 → 22
13,establish develop implement → commit agreement committe → negoti take place,43 → 11 → 18
13,establish develop implement → commit agreement committe → sudane sudan negoti,43 → 11 → 6
13,establish develop implement → agreement implement reach → take place mediat → establish develop implement,43 → 27 → 4 → 43
13,establish develop implement → agreement implement reach → take place mediat → agreement implement reach,43 → 27 → 4 → 27
13,establish develop implement → agreement implement reach → take place mediat → negoti take place,43 → 27 → 4 → 18
13,establish develop implement → agreement implement reach → take place mediat → hold confer elect,43 → 27 → 4 → 49
13,establish develop implement → agreement implement reach → take place mediat → reconcili refus resum,43 → 27 → 4 → 30
13,establish develop implement → agreement implement reach → agre end set,43 → 27 → 35
13,establish develop implement → agreement implement reach → agreement implement reach → take place mediat,43 → 27 → 27 → 4
13,establish develop implement → agreement implement reach → agreement implement reach → establish develop implement,43 → 27 → 27 → 43
13,establish develop implement → agreement implement reach → agreement implement reach → commit agreement committe,43 → 27 → 27 → 11
13,establish develop implement → agreement implement reach → cessat continu mediat → negoti take place,43 → 27 → 38 → 18
13,establish develop implement → agreement implement reach → negoti take place → cessat continu mediat,43 → 27 → 18 → 38
13,establish develop implement → agreement implement reach → negoti take place → effort progress lead,43 → 27 → 18 → 1
13,establish develop implement → agreement implement reach → govern state take → negoti take place,43 → 27 → 20 → 18
13,establish develop implement → agreement implement reach → meet turkana pokot,43 → 27 → 45
13,establish develop implement → agreement implement reach → attend confer summit,43 → 27 → 47
13,establish develop implement → agreement implement reach → talk discuss take,43 → 27 → 48
13,establish develop implement → juli meet immedi → establish develop implement,43 → 21 → 43
13,establish develop implement → fight take fighter → establish develop implement,43 → 3 → 43
13,establish develop implement → reconcili refus resum → agreement implement reach → negoti take place,43 → 30 → 27 → 18
13,establish develop implement → reconcili refus resum → agreement implement reach → agreement implement reach,43 → 30 → 27 → 27
13,establish develop implement → reconcili refus resum → agreement implement reach → effort progress lead,43 → 30 → 27 → 1
13,establish develop implement → reconcili refus resum → reconcili refus resum → agreement implement reach,43 → 30 → 30 → 27
13,establish develop implement → reconcili refus resum → take place mediat → take place mediat,43 → 30 → 4 → 4
13,establish develop implement → reconcili refus resum → govern state take → agreement implement reach,43 → 30 → 20 → 27
13,establish develop implement → reconcili refus resum → parti meet reach,43 → 30 → 39
13,establish develop implement → reconcili refus resum → sign meet comprehen,43 → 30 → 0
13,establish develop implement → reconcili refus resum → repres repre govern,43 → 30 → 23
13,establish develop implement → octob septemb decemb → negoti take place,43 → 13 → 18
13,establish develop implement → octob septemb decemb → govern state take,43 → 13 → 20
13,establish develop implement → octob septemb decemb → parti meet reach,43 → 13 → 39
13,establish develop implement → octob septemb decemb → effort progress lead,43 → 13 → 1
13,establish develop implement → lead ceasefir peac → govern state take,43 → 8 → 20
13,establish develop implement → lead ceasefir peac → coalit strateg launch,43 → 8 → 7
13,establish develop implement → negoti take place → agreement implement reach → govern state take,43 → 18 → 27 → 20
13,establish develop implement → negoti take place → negoti take place → cessat continu mediat,43 → 18 → 18 → 38
13,establish develop implement → negoti take place → negoti take place → negoti take place → agreement implement reach,43 → 18 → 18 → 18 → 27
13,establish develop implement → negoti take place → negoti take place → take place mediat,43 → 18 → 18 → 4
13,establish develop implement → negoti take place → govern state take → negoti take place,43 → 18 → 20 → 18
13,establish develop implement → negoti take place → govern state take → agreement implement reach,43 → 18 → 20 → 27
13,establish develop implement → negoti take place → talk discuss take,43 → 18 → 48
13,establish develop implement → negoti take place → coalit strateg launch → agreement implement reach,43 → 18 → 7 → 27
13,establish develop implement → parti meet reach → effort progress lead,43 → 39 → 1
13,establish develop implement → govern state take → cessat continu mediat → agreement implement reach,43 → 20 → 38 → 27
13,establish develop implement → govern state take → govern state take → agreement implement reach,43 → 20 → 20 → 27
13,establish develop implement → govern state take → govern state take → cessat continu mediat,43 → 20 → 20 → 38
13,establish develop implement → govern state take → sign meet comprehen,43 → 20 → 0
13,establish develop implement → subsequ meet deploy,43 → 36
13,establish develop implement → process take place → agreement implement reach,43 → 2 → 27
13,establish develop implement → process take place → commit agreement committe,43 → 2 → 11
13,establish develop implement → sign meet comprehen → establish develop implement,43 → 0 → 43
13,establish develop implement → sign meet comprehen → cessat continu mediat → agreement implement reach,43 → 0 → 38 → 27
13,establish develop implement → region nation tribe → octob septemb decemb,43 → 17 → 13
13,take place mediat → establish develop implement → meet take place → cessat continu mediat,4 → 43 → 22 → 38
13,take place mediat → establish develop implement → take place mediat → take place mediat → establish develop implement,4 → 43 → 4 → 4 → 43
13,take place mediat → establish develop implement → take place mediat → hold confer elect,4 → 43 → 4 → 49
13,take place mediat → establish develop implement → take place mediat → govern congoles congo,4 → 43 → 4 → 44
13,take place mediat → establish develop implement → take place mediat → parti meet reach,4 → 43 → 4 → 39
13,take place mediat → establish develop implement → take place mediat → octob septemb decemb,4 → 43 → 4 → 13
13,take place mediat → establish develop implement → establish develop implement → govern state take,4 → 43 → 43 → 20
13,take place mediat → establish develop implement → cessat continu mediat → meet take place,4 → 43 → 38 → 22
13,take place mediat → establish develop implement → effort progress lead → cessat continu mediat,4 → 43 → 1 → 38
13,take place mediat → establish develop implement → agreement implement reach → agreement implement reach,4 → 43 → 27 → 27
13,take place mediat → establish develop implement → juli meet immedi → take place mediat,4 → 43 → 21 → 4
13,take place mediat → establish develop implement → lead ceasefir peac → cessat continu mediat,4 → 43 → 8 → 38
13,take place mediat → establish develop implement → negoti take place → establish develop implement,4 → 43 → 18 → 43
13,take place mediat → establish develop implement → attend confer summit,4 → 43 → 47
13,take place mediat → establish develop implement → reconcili refus resum → agreement implement reach,4 → 43 → 30 → 27
13,take place mediat → establish develop implement → region nation tribe,4 → 43 → 17
13,take place mediat → focus aim implement,4 → 16
13,take place mediat → peac hold attend → cessat continu mediat → take place mediat,4 → 31 → 38 → 4
13,take place mediat → peac hold attend → juli meet immedi,4 → 31 → 21
13,take place mediat → meet take place → hold confer elect,4 → 22 → 49
13,take place mediat → meet take place → take place mediat → establish develop implement,4 → 22 → 4 → 43
13,take place mediat → meet take place → take place mediat → take place mediat → talk discuss take,4 → 22 → 4 → 4 → 48
13,take place mediat → meet take place → take place mediat → cessat continu mediat,4 → 22 → 4 → 38
13,take place mediat → meet take place → take place mediat → coalit strateg launch,4 → 22 → 4 → 7
13,take place mediat → meet take place → establish develop implement → establish develop implement,4 → 22 → 43 → 43
13,take place mediat → meet take place → effort progress lead → cessat continu mediat,4 → 22 → 1 → 38
13,take place mediat → meet take place → meet take place → meet take place → meet take place,4 → 22 → 22 → 22 → 22
13,take place mediat → meet take place → meet take place → meet take place → meet take place → meet take place,4 → 22 → 22 → 22 → 22 → 22
13,take place mediat → meet take place → meet take place → cessat continu mediat,4 → 22 → 22 → 38
13,take place mediat → meet take place → agre end set,4 → 22 → 35
13,take place mediat → meet take place → parti meet reach → effort progress lead,4 → 22 → 39 → 1
13,take place mediat → meet take place → negoti take place → meet take place,4 → 22 → 18 → 22
13,take place mediat → meet take place → negoti take place → take place mediat → take place mediat,4 → 22 → 18 → 4 → 4
13,take place mediat → meet take place → negoti take place → take place mediat → talk discuss take,4 → 22 → 18 → 4 → 48
13,take place mediat → meet take place → negoti take place → coalit strateg launch,4 → 22 → 18 → 7
13,take place mediat → meet take place → negoti take place → cessat continu mediat,4 → 22 → 18 → 38
13,take place mediat → meet take place → negoti take place → agreement implement reach,4 → 22 → 18 → 27
13,take place mediat → meet take place → februari januari hold,4 → 22 → 19
13,take place mediat → talk discuss take → establish develop implement,4 → 48 → 43
13,take place mediat → talk discuss take → cessat continu mediat,4 → 48 → 38
13,take place mediat → hold confer elect → cessat continu mediat → take place mediat,4 → 49 → 38 → 4
13,take place mediat → hold confer elect → negoti take place → take place mediat,4 → 49 → 18 → 4
13,take place mediat → hold confer elect → negoti take place → octob septemb decemb,4 → 49 → 18 → 13
13,take place mediat → hold confer elect → lead ceasefir peac,4 → 49 → 8
13,take place mediat → group team take → take place mediat,4 → 41 → 4
13,take place mediat → take place mediat → establish develop implement → effort progress lead,4 → 4 → 43 → 1
13,take place mediat → take place mediat → take place mediat → cessat continu mediat → take place mediat,4 → 4 → 4 → 38 → 4
13,take place mediat → take place mediat → take place mediat → take place mediat → talk discuss take,4 → 4 → 4 → 4 → 48
13,take place mediat → take place mediat → take place mediat → take place mediat → cessat continu mediat,4 → 4 → 4 → 4 → 38
13,take place mediat → take place mediat → take place mediat → take place mediat → establish develop implement,4 → 4 → 4 → 4 → 43
13,take place mediat → take place mediat → take place mediat → take place mediat → agreement implement reach,4 → 4 → 4 → 4 → 27
13,take place mediat → take place mediat → take place mediat → take place mediat → juli meet immedi,4 → 4 → 4 → 4 → 21
13,take place mediat → take place mediat → take place mediat → take place mediat → octob septemb decemb,4 → 4 → 4 → 4 → 13
13,take place mediat → take place mediat → take place mediat → take place mediat → reconcili refus resum,4 → 4 → 4 → 4 → 30
13,take place mediat → take place mediat → take place mediat → establish develop implement → take place mediat,4 → 4 → 4 → 43 → 4
13,take place mediat → take place mediat → take place mediat → establish develop implement → cessat continu mediat,4 → 4 → 4 → 43 → 38
13,take place mediat → take place mediat → take place mediat → commit agreement committe,4 → 4 → 4 → 11
13,take place mediat → take place mediat → take place mediat → ababa take meet,4 → 4 → 4 → 40
13,take place mediat → take place mediat → take place mediat → lead ceasefir peac,4 → 4 → 4 → 8
13,take place mediat → take place mediat → take place mediat → februari januari hold,4 → 4 → 4 → 19
13,take place mediat → take place mediat → cessat continu mediat → effort progress lead,4 → 4 → 38 → 1
13,take place mediat → take place mediat → cessat continu mediat → coalit strateg launch,4 → 4 → 38 → 7
13,take place mediat → take place mediat → cessat continu mediat → talk discuss take,4 → 4 → 38 → 48
13,take place mediat → take place mediat → cessat continu mediat → octob septemb decemb,4 → 4 → 38 → 13
13,take place mediat → take place mediat → hold confer elect → cessat continu mediat,4 → 4 → 49 → 38
13,take place mediat → take place mediat → hold confer elect → take place mediat,4 → 4 → 49 → 4
13,take place mediat → take place mediat → effort progress lead → cessat continu mediat,4 → 4 → 1 → 38
13,take place mediat → take place mediat → effort progress lead → juli meet immedi,4 → 4 → 1 → 21
13,take place mediat → take place mediat → coalit strateg launch → cessat continu mediat,4 → 4 → 7 → 38
13,take place mediat → take place mediat → coalit strateg launch → establish develop implement,4 → 4 → 7 → 43
13,take place mediat → take place mediat → coalit strateg launch → govern congoles congo,4 → 4 → 7 → 44
13,take place mediat → take place mediat → coalit strateg launch → coalit strateg launch,4 → 4 → 7 → 7
13,take place mediat → take place mediat → meet take place → take place mediat → meet take place,4 → 4 → 22 → 4 → 22
13,take place mediat → take place mediat → meet take place → juli meet immedi,4 → 4 → 22 → 21
13,take place mediat → take place mediat → meet take place → talk discuss take,4 → 4 → 22 → 48
13,take place mediat → take place mediat → meet take place → coalit strateg launch,4 → 4 → 22 → 7
13,take place mediat → take place mediat → meet take place → reconcili refus resum,4 → 4 → 22 → 30
13,take place mediat → take place mediat → meet take place → govern state take,4 → 4 → 22 → 20
13,take place mediat → take place mediat → peac hold attend → establish develop implement,4 → 4 → 31 → 43
13,take place mediat → take place mediat → commit agreement committe → take place mediat,4 → 4 → 11 → 4
13,take place mediat → take place mediat → agreement implement reach → take place mediat → take place mediat,4 → 4 → 27 → 4 → 4
13,take place mediat → take place mediat → agreement implement reach → meet take place,4 → 4 → 27 → 22
13,take place mediat → take place mediat → agre end set → establish develop implement,4 → 4 → 35 → 43
13,take place mediat → take place mediat → juli meet immedi → agreement implement reach,4 → 4 → 21 → 27
13,take place mediat → take place mediat → juli meet immedi → establish develop implement,4 → 4 → 21 → 43
13,take place mediat → take place mediat → juli meet immedi → meet take place,4 → 4 → 21 → 22
13,take place mediat → take place mediat → negoti take place → cessat continu mediat → agreement implement reach,4 → 4 → 18 → 38 → 27
13,take place mediat → take place mediat → negoti take place → take place mediat → coalit strateg launch,4 → 4 → 18 → 4 → 7
13,take place mediat → take place mediat → negoti take place → take place mediat → negoti take place,4 → 4 → 18 → 4 → 18
13,take place mediat → take place mediat → negoti take place → meet turkana pokot,4 → 4 → 18 → 45
13,take place mediat → take place mediat → negoti take place → negoti take place → parti meet reach,4 → 4 → 18 → 18 → 39
13,take place mediat → take place mediat → parti meet reach → meet take place,4 → 4 → 39 → 22
13,take place mediat → take place mediat → parti meet reach → talk discuss take,4 → 4 → 39 → 48
13,take place mediat → take place mediat → parti meet reach → govern state take,4 → 4 → 39 → 20
13,take place mediat → take place mediat → tension violenc continu → take place mediat,4 → 4 → 24 → 4
13,take place mediat → take place mediat → govern state take → govern state take,4 → 4 → 20 → 20
13,take place mediat → take place mediat → sign meet comprehen → meet take place,4 → 4 → 0 → 22
13,take place mediat → take place mediat → sign meet comprehen → establish develop implement,4 → 4 → 0 → 43
13,take place mediat → take place mediat → sign meet comprehen → agreement implement reach,4 → 4 → 0 → 27
13,take place mediat → take place mediat → octob septemb decemb → parti meet reach,4 → 4 → 13 → 39
13,take place mediat → take place mediat → reconcili refus resum → agreement implement reach,4 → 4 → 30 → 27
13,take place mediat → take place mediat → reconcili refus resum → govern state take,4 → 4 → 30 → 20
13,take place mediat → take place mediat → reconcili refus resum → take place mediat,4 → 4 → 30 → 4
13,take place mediat → take place mediat → reconcili refus resum → establish develop implement,4 → 4 → 30 → 43
13,take place mediat → take place mediat → lead ceasefir peac → juli meet immedi,4 → 4 → 8 → 21
13,take place mediat → take place mediat → lead agreement negoti,4 → 4 → 15
13,take place mediat → cessat continu mediat → cessat continu mediat → effort progress lead,4 → 38 → 38 → 1
13,take place mediat → cessat continu mediat → cessat continu mediat → cessat continu mediat,4 → 38 → 38 → 38
13,take place mediat → cessat continu mediat → effort progress lead → cessat continu mediat,4 → 38 → 1 → 38
13,take place mediat → cessat continu mediat → effort progress lead → take place mediat,4 → 38 → 1 → 4
13,take place mediat → cessat continu mediat → take place mediat → coalit strateg launch,4 → 38 → 4 → 7
13,take place mediat → cessat continu mediat → take place mediat → talk discuss take,4 → 38 → 4 → 48
13,take place mediat → cessat continu mediat → take place mediat → cessat continu mediat,4 → 38 → 4 → 38
13,take place mediat → cessat continu mediat → take place mediat → establish develop implement,4 → 38 → 4 → 43
13,take place mediat → cessat continu mediat → take place mediat → hold confer elect,4 → 38 → 4 → 49
13,take place mediat → cessat continu mediat → meet take place → take place mediat → meet take place,4 → 38 → 22 → 4 → 22
13,take place mediat → cessat continu mediat → meet take place → effort progress lead,4 → 38 → 22 → 1
13,take place mediat → cessat continu mediat → agreement implement reach → take place mediat → take place mediat,4 → 38 → 27 → 4 → 4
13,take place mediat → cessat continu mediat → agreement implement reach → establish develop implement,4 → 38 → 27 → 43
13,take place mediat → cessat continu mediat → tension violenc continu,4 → 38 → 24
13,take place mediat → effort progress lead → meet take place,4 → 1 → 22
13,take place mediat → effort progress lead → agreement implement reach → take place mediat,4 → 1 → 27 → 4
13,take place mediat → effort progress lead → parti meet reach,4 → 1 → 39
13,take place mediat → effort progress lead → reconcili refus resum,4 → 1 → 30
13,take place mediat → effort progress lead → effort progress lead,4 → 1 → 1
13,take place mediat → coalit strateg launch → talk discuss take,4 → 7 → 48
13,take place mediat → coalit strateg launch → establish develop implement → take place mediat,4 → 7 → 43 → 4
13,take place mediat → coalit strateg launch → take place mediat → meet take place,4 → 7 → 4 → 22
13,take place mediat → coalit strateg launch → take place mediat → agreement implement reach,4 → 7 → 4 → 27
13,take place mediat → coalit strateg launch → commit agreement committe,4 → 7 → 11
13,take place mediat → coalit strateg launch → agreement implement reach → take place mediat,4 → 7 → 27 → 4
13,take place mediat → coalit strateg launch → agreement implement reach → agreement implement reach,4 → 7 → 27 → 27
13,take place mediat → coalit strateg launch → agreement implement reach → cessat continu mediat,4 → 7 → 27 → 38
13,take place mediat → coalit strateg launch → juli meet immedi,4 → 7 → 21
13,take place mediat → ceasefir take effect → negoti take place,4 → 25 → 18
13,take place mediat → commit agreement committe → take place mediat → agreement implement reach,4 → 11 → 4 → 27
13,take place mediat → commit agreement committe → peac hold attend,4 → 11 → 31
13,take place mediat → commit agreement committe → cessat continu mediat → establish develop implement,4 → 11 → 38 → 43
13,take place mediat → commit agreement committe → negoti take place,4 → 11 → 18
13,take place mediat → commit agreement committe → coalit strateg launch,4 → 11 → 7
13,take place mediat → commit agreement committe → govern state take,4 → 11 → 20
13,take place mediat → commit agreement committe → process take place,4 → 11 → 2
13,take place mediat → agreement implement reach → take place mediat → juli meet immedi,4 → 27 → 4 → 21
13,take place mediat → agreement implement reach → take place mediat → reconcili refus resum,4 → 27 → 4 → 30
13,take place mediat → agreement implement reach → establish develop implement → agreement implement reach,4 → 27 → 43 → 27
13,take place mediat → agreement implement reach → agreement implement reach → cessat continu mediat,4 → 27 → 27 → 38
13,take place mediat → agreement implement reach → agreement implement reach → effort progress lead,4 → 27 → 27 → 1
13,take place mediat → agreement implement reach → juli meet immedi → take place mediat,4 → 27 → 21 → 4
13,take place mediat → agreement implement reach → cessat continu mediat → cessat continu mediat,4 → 27 → 38 → 38
13,take place mediat → agreement implement reach → cessat continu mediat → take place mediat → take place mediat,4 → 27 → 38 → 4 → 4
13,take place mediat → agreement implement reach → cessat continu mediat → effort progress lead,4 → 27 → 38 → 1
13,take place mediat → agreement implement reach → govern state take → negoti take place,4 → 27 → 20 → 18
13,take place mediat → agreement implement reach → sudane sudan negoti,4 → 27 → 6
13,take place mediat → agreement implement reach → octob septemb decemb → take place mediat,4 → 27 → 13 → 4
13,take place mediat → agreement implement reach → negoti take place → negoti take place,4 → 27 → 18 → 18
13,take place mediat → agreement implement reach → negoti take place → parti meet reach,4 → 27 → 18 → 39
